matricule,nom,prenom,filiere_code,matiere_code,note,note_max,type_evaluation,coefficient,date_evaluation,semestre,annee_academique
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,ALGO101,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,BDD201,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,WEB201,18.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,RX301,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,MATH101,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,SYS201,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,PROG101,16.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-001,BAHOUN,Octave,L1-INFO-2026,IA401,15.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,ALGO101,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,BDD201,15.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,WEB201,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,RX301,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,MATH101,14.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,SYS201,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,PROG101,15.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-002,KOFFI,Marc,L1-INFO-2026,IA401,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,ALGO101,13.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,BDD201,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,WEB201,14.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,RX301,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,MATH101,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,SYS201,11.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,PROG101,13.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-003,SALIHOU,Amine,L1-INFO-2026,IA401,14.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,ALGO101,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,BDD201,11.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,WEB201,13.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,RX301,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,MATH101,11.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,SYS201,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-INFO-004,ZANNOU,Alice,L1-INFO-2026,PROG101,11.50,20,Examen,2,2026-05-20,S2,2025-2026
